step,equal_weight,vol_regime,hmm,buy_and_hold
168,1.0093325,0.95836926,0.89518774,0.9466807050773549
169,1.0092759,0.95838857,0.89520395,0.9670761713795795
170,1.0077219,0.96340567,0.9076037,0.9616156875761308
171,1.0077313,0.96376604,0.9083375,0.9625899377091073
172,1.0076473,0.9634531,0.90798724,0.9489968937780409
173,1.0054317,0.96532714,0.91044265,0.9391402972363494
174,1.0074134,0.9678031,0.91361684,0.93918451922377
175,1.0073655,0.967773,0.9135605,0.9443017236389131
176,1.0064416,0.96909845,0.91561085,0.9357366948337539
177,1.0131905,0.97440267,0.9190813,0.9503961594446116
178,1.0078974,0.9672988,0.9141415,0.9532872339817652
179,1.0079367,0.9678704,0.91386324,0.9493021621322153
180,1.0057652,0.9659481,0.9115758,0.9277020814395102
181,1.0132096,0.9743042,0.9093253,0.9197959105592913
182,1.0142577,0.9744296,0.90966535,0.9152325989584976
183,1.0134034,0.9732124,0.90977865,0.9178049273728388
184,1.0120331,0.97240627,0.90897095,0.9324050152702498
185,1.0100497,0.9686922,0.8993307,0.92260425519863
186,1.0093349,0.968627,0.9047577,0.9275199762890647
187,1.0099387,0.96811503,0.90242773,0.9285704969284352
188,1.0099733,0.96794945,0.90209174,0.9182942262729783
189,1.0065149,0.96410024,0.9061997,0.9278831928374293
190,1.0061059,0.9625491,0.90053844,0.9258265598747076
