step,allocator,blended_action,aggressive_action,balanced_action,conservative_action
158,equal_weight,0.6944315,0.5474144,0.87338686,0.6624931
159,equal_weight,0.5317837,0.26808643,0.8672923,0.45997238
160,equal_weight,0.67281705,0.5285443,0.8667294,0.6231775
161,equal_weight,0.3598089,0.1943109,0.69801176,0.18710399
162,equal_weight,0.55681145,0.84522104,0.4149816,0.4102317
163,equal_weight,0.30340433,0.59421563,0.15668523,0.15931213
164,equal_weight,0.319981,0.49398756,0.31375337,0.15220213
165,equal_weight,0.3748115,0.71638143,0.17713034,0.2309227
166,equal_weight,-0.07663999,-0.026830196,-0.64621204,0.44312227
167,equal_weight,0.051784914,-0.20693624,-0.04205954,0.40435052
168,equal_weight,-0.069896616,-0.39719427,-0.38485134,0.57235575
169,equal_weight,-0.002136727,0.19326401,-0.2429418,0.043267608
170,equal_weight,-0.007694701,0.51870334,-0.44567257,-0.096114874
171,equal_weight,0.1435871,0.79640865,-0.39764208,0.0319947
172,equal_weight,-0.1986419,-0.23160505,-0.33982778,-0.02449286
173,equal_weight,-0.014259438,-0.70025676,0.010859966,0.6466185
174,equal_weight,-0.10815927,-0.89941174,-0.08932334,0.6642573
175,equal_weight,-0.76372993,-0.9893707,-0.9551292,-0.34668994
176,equal_weight,-0.32095817,-0.94272834,-0.49469113,0.474545
177,equal_weight,0.07100179,-0.65179104,0.26708245,0.59771395
178,equal_weight,0.4251164,0.113493204,0.75864625,0.4032097
179,equal_weight,-0.32954878,-0.62748694,0.17672348,-0.53788286
180,equal_weight,-0.13611527,-0.35329038,-0.15804952,0.102994084
181,equal_weight,0.1152002,0.316442,-0.27486777,0.30402637
182,equal_weight,-0.4261857,-0.4190886,-0.6053236,-0.2541449
183,equal_weight,-0.11746162,0.6697103,-0.9005079,-0.12158722
184,equal_weight,0.065069914,0.5731065,-0.4098786,0.031981826
185,equal_weight,0.11236278,0.4879514,-0.18536305,0.034500003
186,equal_weight,0.1114645,0.068241596,0.056432962,0.20971894
187,equal_weight,0.29550126,0.23960721,0.0069770813,0.6399195
188,equal_weight,-0.012545049,0.32796073,-0.18432951,-0.18126637
189,equal_weight,0.5381528,0.70629025,0.5090084,0.3991598
0,vol_regime,-0.30379447,-0.0730539,0.44598126,-0.7171391
1,vol_regime,-0.45883036,0.024763227,-0.14498794,-0.6963505
2,vol_regime,-0.4981794,-0.33469594,0.17256892,-0.8608008
3,vol_regime,-0.26930436,-0.4272694,0.42351615,-0.5893871
4,vol_regime,-0.4722811,-0.24536866,0.3339746,-0.9132277
5,vol_regime,-0.6313654,0.04965341,-0.13349688,-0.9938028
6,vol_regime,-0.61791444,-0.5472358,0.097553015,-0.98742795
7,vol_regime,-0.48964018,-0.66144115,0.5838624,-0.997758
8,vol_regime,-0.69386405,-0.7470005,-0.09772003,-0.98307997
9,vol_regime,-0.7474962,-0.8565894,-0.64738053,-0.9387499
10,vol_regime,-0.46868566,-0.35187286,-0.5116107,-0.45672333
11,vol_regime,-0.29840276,0.23443699,-0.55107135,-0.07323676
12,vol_regime,-0.40688077,-0.8962005,-0.3413552,-0.11413771
13,vol_regime,-0.39002132,0.40201044,-0.46195436,-0.96625394
14,vol_regime,0.0647277,0.6922604,0.05911708,-0.5459731
15,vol_regime,-0.053490676,0.412632,0.011734366,-0.71528846
16,vol_regime,-0.3244043,-0.9244464,-0.70474094,-0.03422898
17,vol_regime,-0.36127204,-0.9955444,-0.535039,-0.1686765
18,vol_regime,-0.5593388,-0.9918356,0.1303432,-0.832097
19,vol_regime,-0.64740026,-0.9827769,-0.083759785,-0.8733244
20,vol_regime,-0.20837654,-0.0367468,0.5508201,-0.61657983
21,vol_regime,-0.223854,-0.66162395,0.5111456,-0.51839215
22,vol_regime,-0.23310295,-0.59915966,0.3201965,-0.44874322
23,vol_regime,-0.025915165,-0.36360794,0.21454775,-0.08986449
24,vol_regime,0.41843843,0.7418585,0.54673386,0.30038738
25,vol_regime,-0.2439755,-0.1486243,-0.003499627,-0.38010532
26,vol_regime,0.07272978,0.47180128,0.24141681,-0.078125656
27,vol_regime,-0.088183284,0.80965686,0.19021797,-0.37702394
28,vol_regime,0.0418501,0.872452,0.22323978,-0.18727839
29,vol_regime,-0.2790767,0.83687234,-0.2550695,-0.47707182
30,vol_regime,0.30200237,0.853421,0.51343966,0.10438061
